Aachen, Germany:::633175:::Aachen, Germany
Ao Nang, Thailand:::1226146:::Ao Nang, Thailand
Aphrodite Hills, Cyprus:::841589:::Aphrodite Hills, Cyprus
Aqaba, Jordania:::1968261:::Aqaba, Jordania
Aralsk, Kazakstan:::2255903:::Aralsk, Kazakstan
Arequipa, Peru:::418442:::Arequipa, Peru
Arguineguin, Spain:::763866:::Arguineguin, Spain
Ari Atoll, Maldives:::2268295:::Ari Atoll, Maldives
Arkangelsk, Russia:::12598009:::Arkangelsk, Russia
Arrecife, Spain:::753057:::Arrecife, Spain
Aruba:::56069:::Aruba
Ashgabat, Turkmenistan:::1935520:::Ashgabat, Turkmenistan
Asmara, Eritrea:::1312120:::Asmara, Eritrea
Astrahan, Russia:::1984592:::Astrahan, Russia
Asuncion, Paraguay:::379176:::Asuncion, Paraguay
Athens, Greece:::946738:::Athens, Greece
Atlanta, USA:::2357024:::Atlanta, USA
Auckland, New Zealand:::2348079:::Auckland, New Zealand
Augsburg, Germany:::636080:::Augsburg, Germany
Auxerre, France:::577483:::Auxerre, France
Avignon, France:::577605:::Avignon, France
Ayia Napa, Cyprus:::841285:::Ayia Napa, Cyprus
Baden, Switzerland:::781712:::Baden, Switzerland
Bagdad, Iraq:::1979455:::Bagdad, Iraq
Bahamas:::57024:::Bahamas
Bahia de Maimon, Dominican Republic:::76321:::Bahia de Maimon, Dominican Republic
Bahia Feliz, Spain:::29372701:::Bahia Feliz, Spain
Baikonur, Kazakstan:::2259865:::Baikonur, Kazakstan
Baku, Azerbaidzan:::1951874:::Baku, Azerbaidzan
Balatonboglar, Hungary:::803226:::Balatonboglar, Hungary
Balchik, Bulgaria:::834770:::Balchik, Bulgaria
Bali, Indonesia:::1047372:::Bali, Indonesia
Baltimore, USA:::2358820:::Baltimore, USA
Bamako, Mali:::1369729:::Bamako, Mali
Bandung, Indonesia:::1047180:::Bandung, Indonesia
Bangalore, India:::2295420:::Bangalore, India
Bangkok, Thailand:::1225448:::Bangkok, Thailand
Bangtao Bay, Thailand:::1226113:::Bangtao Bay, Thailand
Bangui, Central African Republic:::1306666:::Bangui, Central African Republic
Banja Luka, Bosnia-Herzegovina:::940573:::Banja Luka, Bosnia-Herzegovina
Banjul, Gambia:::1321151:::Banjul, Gambia
Barbados:::56334:::Barbados
Barcelona, Spain:::753692:::Barcelona, Spain
Bari, Italy:::710722:::Bari, Italy
Basel, Switzerland:::781739:::Basel, Switzerland
Bastia, France:::578387:::Bastia, France
Bavaro, Dominican Republic:::69511:::Bavaro, Dominican Republic
Beijing, China:::2151330:::Beijing, China
Beira, Mosambik:::1544986:::Beira, Mosambik
Beirut, Libanon:::1960307:::Beirut, Libanon
Belek, Turkey:::2311303:::Belek, Turkey
Belfast, UK:::44544:::Belfast, UK
Belgrad, Serbia:::532697:::Belgrad, Serbia
Belize City, Belize:::57171:::Belize City, Belize
Belmopan, Belize:::57172:::Belmopan, Belize
Belomorsk, Russia:::2120231:::Belomorsk, Russia
Benalmadena, Spain:::754190:::Benalmadena, Spain
Bengasi, Libya:::1352831:::Bengasi, Libya
Bergamo, Italy:::710893:::Bergamo, Italy
Bergen, Norway:::857105:::Bergen, Norway
Berlin, Germany:::638242:::Berlin, Germany
Berne, Switzerland:::781788:::Berne, Switzerland
Besancon, France:::579560:::Besancon, France
Bhopal, India:::2295407:::Bhopal, India
Biarritz, France:::579833:::Biarritz, France
Biel, Switzerland:::785125:::Biel, Switzerland
Bilbao, Spain:::754542:::Bilbao, Spain
Billund, Denmark:::552282:::Billund, Denmark
Birmingham, UK:::12723:::Birmingham, UK
Bishkek, Kirgisia:::1969888:::Bishkek, Kirgisia
Bissau, Guinea-Bissau:::1559861:::Bissau, Guinea-Bissau
Blue Bay, Mauritius:::23424894:::Blue Bay, Mauritius
Boa Vista, Kap Verde:::1310855:::Boa Vista, Kap Verde
Bodrum, Turkey:::2343815:::Bodrum, Turkey
Bolzano, Italy:::711089:::Bolzano, Italy
Bonn, Germany:::640161:::Bonn, Germany
Bora-Bora, France:::28743663:::Bora-Bora, France
Bordeaux, France:::580778:::Bordeaux, France
Borgholm, Sweden:::887251:::Borgholm, Sweden
Bormio, Italy:::711270:::Bormio, Italy
Borås, Sweden:::887229:::Borås, Sweden
Boston, USA:::2367105:::Boston, USA
Bournemouth, UK:::13383:::Bournemouth, UK
Brac, Croatia:::849267:::Brac, Croatia
Brasilia, Brazil:::455819:::Brasilia, Brazil
Brasov, Romania:::868025:::Brasov, Romania
Bratislava, Slovakia:::818717:::Bratislava, Slovakia
Brazzaville, Republic of Congo:::1279685:::Brazzaville, Republic of Congo
Breclav, Czech Republic:::786719:::Breclav, Czech Republic
Bremen, Germany:::641142:::Bremen, Germany
Brescia, Italy:::711410:::Brescia, Italy
Brest, France:::581787:::Brest, France
Brest, Belarus:::824382:::Brest, Belarus
Brighton, UK:::13911:::Brighton, UK
Brindisi, Italy:::711438:::Brindisi, Italy
Brisbane, Australia:::1100661:::Brisbane, Australia
Bristol, UK:::13963:::Bristol, UK
British Virgin Islands:::329616:::British Virgin Islands
Brno, Czech Republic:::786869:::Brno, Czech Republic
Brunei:::1020725:::Brunei
Bryansk, Russia:::1994944:::Bryansk, Russia
Bryssel, Belgium:::968019:::Bryssel, Belgium
Budapest, Hungary:::804365:::Budapest, Hungary
Budva, Montenegro:::536010:::Budva, Montenegro
Budweis, Czech Republic:::787461:::Budweis, Czech Republic
Buenos Aires, Argentina:::468739:::Buenos Aires, Argentina
Buffalo, USA:::2371464:::Buffalo, USA
Buhara, Uzbekistan:::2272540:::Buhara, Uzbekistan
Bujumbura, Burundi:::1269399:::Bujumbura, Burundi
Bucharest, Romania:::868274:::Bucharest, Romania
Burgas, Bulgaria:::835315:::Burgas, Bulgaria
Burgos, Spain:::755078:::Burgos, Spain
Buzios, Brazil:::456714:::Buzios, Brazil
C'an Pastilla, Spain:::755197:::C'an Pastilla, Spain
Cabarete, Dominican Republic:::69700:::Cabarete, Dominican Republic
Cabo Carvoeiro, Portugal:::23214732:::Cabo Carvoeiro, Portugal
Cadiz, Spain:::755404:::Cadiz, Spain
Cagliari, Italy:::711665:::Cagliari, Italy
Cala Bona, Spain:::15003430:::Cala Bona, Spain
Cala Mayor, Spain:::755426:::Cala Mayor, Spain
Cala Millor, Spain:::755432:::Cala Millor, Spain
Calais, France:::582681:::Calais, France
Calgary, Canada:::8775:::Calgary, Canada
Canberra, Australia:::1100968:::Canberra, Australia
Cancun, Mexico:::114632:::Cancun, Mexico
Cannes, France:::582935:::Cannes, France
Canoa Quebrada, Brazil:::459634:::Canoa Quebrada, Brazil
Cape Panwa Beach, Thailand:::1226113:::Cape Panwa Beach, Thailand
Cape Town, South Africa:::1591691:::Cape Town, South Africa
Capri, Italy:::20115634:::Capri, Italy
Caracas, Venezuela:::395269:::Caracas, Venezuela
Cardiff, UK:::15127:::Cardiff, UK
Cartagena, Spain:::756324:::Cartagena, Spain
Casablanca, Morocco:::1532755:::Casablanca, Morocco
Cascais, Portugal:::739040:::Cascais, Portugal
Cassino, Italy:::713169:::Cassino, Italy
Catania, Italy:::713571:::Catania, Italy
Cattolica, Italy:::713581:::Cattolica, Italy
Cayman Islands:::57596:::Cayman Islands
Cefalù, Italy:::713669:::Cefalù, Italy
Cha-Am, Thailand:::1225939:::Cha-Am, Thailand
Chamonix, France:::584108:::Chamonix, France
Châteaubriant, France:::584948:::Châteaubriant, France
Chelyabinsk, Russia:::1997422:::Chelyabinsk, Russia
Cherbourg, France:::585596:::Cherbourg, France
Cherepovets, Russia:::1997787:::Cherepovets, Russia
Chiang Mai, Thailand:::1225955:::Chiang Mai, Thailand
Chicago, USA:::2379574:::Chicago, USA
Chisinau, Moldova:::480793:::Chisinau, Moldova
Chita, Russia:::1999123:::Chita, Russia
Chittagong, Bangladesh:::1915031:::Chittagong, Bangladesh
Christchurch, New Zealand:::2348327:::Christchurch, New Zealand
Cleveland, USA:::2381475:::Cleveland, USA
Cochabamba, Bolivia:::346058:::Cochabamba, Bolivia
Coco Beach, Philippines:::1199672:::Coco Beach, Philippines
Cognac, France:::586392:::Cognac, France
Coimbra, Portugal:::739672:::Coimbra, Portugal
Cologne, Germany:::667931:::Cologne, Germany
Colombo, Sri Lanka:::2189783:::Colombo, Sri Lanka
Colón, Panama:::155677:::Colón, Panama
Como, Italy:::714505:::Como, Italy
Comores:::1306106:::Comores
Conakry, Guinea:::1334760:::Conakry, Guinea
Concepcion, Chile:::349860:::Concepcion, Chile
Constanta, Romania:::870151:::Constanta, Romania
Constantine, Algeria:::1253867:::Constantine, Algeria
Cook Islands:::1064303:::Cook Islands
Copenhagen, Denmark:::554890:::Copenhagen, Denmark
Coral Bay, Cyprus:::841589:::Coral Bay, Cyprus
Cordoba, Argentina:::466861:::Cordoba, Argentina
Cordoba, Spain:::758007:::Cordoba, Spain
Cork, Ireland:::560472:::Cork, Ireland
Corralejo, Spain:::758089:::Corralejo, Spain
Cortina d'Ampezzo, Italy:::714726:::Cortina d'Ampezzo, Italy
Costa Blanca, Panama:::159386:::Costa Blanca, Panama
Costa del Sol, Spain:::775818:::Costa del Sol, Spain
Costa Dorada, Dominican Republic:::76321:::Costa Dorada, Dominican Republic
Cotonou, Benin:::1266711:::Cotonou, Benin
Coventry, UK:::17044:::Coventry, UK
Crete, Greece:::950519:::Crete, Greece
Cumbuco, Brazil:::455830:::Cumbuco, Brazil
Curacao:::152045:::Curacao
Dagomys, Russia:::1999965:::Dagomys, Russia
Dahab, Egypt:::1526249:::Dahab, Egypt
Dakar, Senegal:::1411986:::Dakar, Senegal
Dallas, USA:::2388929:::Dallas, USA
Damascus, Syria:::1947122:::Damascus, Syria
Dar es Salaam, Tansania:::1443415:::Dar es Salaam, Tansania
Daratso, Greece:::56024888:::Daratso, Greece
Darwin, Australia:::1101597:::Darwin, Australia
Dashhowuz, Turkmenistan:::1935680:::Dashhowuz, Turkmenistan
Davao City, Philippines:::1199136:::Davao City, Philippines
David, Panama:::155775:::David, Panama
Debreczin, Hungary:::805328:::Debreczin, Hungary
Denver, USA:::2391279:::Denver, USA
Detroit, USA:::2391585:::Detroit, USA
Dhaka, Bangladesh:::1915035:::Dhaka, Bangladesh
Dieppe, France:::588732:::Dieppe, France
Dijon, France:::588765:::Dijon, France
Dikson, Russia:::2001263:::Dikson, Russia
Dili, East Timor:::1047673:::Dili, East Timor
Djibouti City, Djibouti:::1310941:::Djibouti City, Djibouti
Dnipropetrovs'k, Ukraine:::918981:::Dnipropetrovs'k, Ukraine
Dodoma, Tansania:::1517837:::Dodoma, Tansania
Doha, Qatar:::1940517:::Doha, Qatar
Dominica:::68829:::Dominica
Donets'k, Ukraine:::919163:::Donets'k, Ukraine
Dortmund, Germany:::645458:::Dortmund, Germany
Douala, Cameroun:::1478198:::Douala, Cameroun
Drammen, Norway:::857871:::Drammen, Norway
Dresden, Germany:::645686:::Dresden, Germany
Dubai Jumeirah Beach, U.A.E.:::1940345:::Dubai Jumeirah Beach, U.A.E.
Dubai, U.A.E:::1940345:::Dubai, U.A.E
Dublin, Ireland:::560743:::Dublin, Ireland
Dubrovnik, Croatia:::847612:::Dubrovnik, Croatia
Duisburg, Germany:::645877:::Duisburg, Germany
Dunkerque, France:::589284:::Dunkerque, France
Durban, South Africa:::1580913:::Durban, South Africa
Dusanbe, Tadzikistan:::2213336:::Dusanbe, Tadzikistan
Düsseldorf, Germany:::646099:::Düsseldorf, Germany
Dzhalal-Abad, Kirgisia:::1969302:::Dzhalal-Abad, Kirgisia
Edinburgh, UK:::19344:::Edinburgh, UK
Edmonton, Canada:::8676:::Edmonton, Canada
Eger, Hungary:::805744:::Eger, Hungary
Eilat, Israel:::1968170:::Eilat, Israel
Eindhoven, Netherlands:::729028:::Eindhoven, Netherlands
El Gouna, Egypt:::56120939:::El Gouna, Egypt
Engelberg, Switzerland:::782338:::Engelberg, Switzerland
Erfurt, Germany:::648351:::Erfurt, Germany
Esbjerg, Denmark:::553065:::Esbjerg, Denmark
Eskilstuna, Sweden:::889077:::Eskilstuna, Sweden
Essen, Germany:::648820:::Essen, Germany
Estoril, Portugal:::740758:::Estoril, Portugal
Euboea, Greece:::948031:::Euboea, Greece
Évian-les-Bains, France:::590379:::Évian-les-Bains, France
Évora, Portugal:::740795:::Évora, Portugal
Faliráki, Greece:::949411:::Faliráki, Greece
Famagusta, Cyprus:::841285:::Famagusta, Cyprus
Fañabé, Spain:::20222997:::Fañabé, Spain
Faro, Portugal:::740869:::Faro, Portugal
Faya, Chad:::1274043:::Faya, Chad
Fethiye, Turkey:::2319710:::Fethiye, Turkey
Fez, Morocco:::1535450:::Fez, Morocco
Fiji:::1064103:::Fiji
Firenze, Italy:::715496:::Firenze, Italy
Flic en Flac, Mauritius:::1377294:::Flic en Flac, Mauritius
Foggia, Italy:::715550:::Foggia, Italy
Fort Lauderdale, USA:::2405797:::Fort Lauderdale, USA
Fortaleza, Brazil:::455830:::Fortaleza, Brazil
Francistown, Botswana:::1265544:::Francistown, Botswana
Frankfurt, Germany:::650272:::Frankfurt, Germany
Frederikshavn, Denmark:::553314:::Frederikshavn, Denmark
Freetown, Sierra Leone:::1419467:::Freetown, Sierra Leone
Freiburg, Germany:::650437:::Freiburg, Germany
Fuengirola, Spain:::761023:::Fuengirola, Spain
Fuerteventura, Spain:::12478490:::Fuerteventura, Spain
Fukuoka, Japan:::1117099:::Fukuoka, Japan
Funchal, Portugal:::741607:::Funchal, Portugal
Gaborone, Botswana:::1265547:::Gaborone, Botswana
Galapagos Islands, Ecuador:::374671:::Galapagos Islands, Ecuador
Galway, Ireland:::560912:::Galway, Ireland
Gamboa, Panama:::157000:::Gamboa, Panama
Garmisch-Partenkirchen, Germany:::651554:::Garmisch-Partenkirchen, Germany
Gatchina, Russia:::2006387:::Gatchina, Russia
Gdansk, Poland:::493417:::Gdansk, Poland
Gdynia, Poland:::493421:::Gdynia, Poland
Gelsenkirchen, Germany:::652038:::Gelsenkirchen, Germany
Geneva, Switzerland:::782538:::Geneva, Switzerland
Genova, Italy:::716085:::Genova, Italy
Gent, Belgium:::970013:::Gent, Belgium
Georgetown, Guyana:::376765:::Georgetown, Guyana
Giardini-Naxos, Italy:::716149:::Giardini-Naxos, Italy
Gijon, Spain:::761570:::Gijon, Spain
Glasgow, UK:::21125:::Glasgow, UK
Goa, India:::2295173:::Goa, India
Gomera, Spain:::12478493:::Gomera, Spain
Gori, Georgia:::1966826:::Gori, Georgia
Gothenburg, Sweden:::890869:::Gothenburg, Sweden
Gouda, Netherlands:::729467:::Gouda, Netherlands
Gran Canaria, Spain:::12478495:::Gran Canaria, Spain
Granada, Spain:::761766:::Granada, Spain
Grand Baie, Mauritius:::1377436:::Grand Baie, Mauritius
Grasse, France:::593645:::Grasse, France
Graz, Austria:::548536:::Graz, Austria
Grenada:::80438:::Grenada
Grenoble, France:::593720:::Grenoble, France
Grosny, Russia:::2010343:::Grosny, Russia
Gstaad, Switzerland:::782666:::Gstaad, Switzerland
Guadeloupe:::12484172:::Guadeloupe
Guangzhou (Canton), China:::2161838:::Guangzhou (Canton), China
Guardalavaca, Cuba:::62982:::Guardalavaca, Cuba
Guatemala City, Guatemala:::83123:::Guatemala City, Guatemala
Guayaquil, Ecuador:::375733:::Guayaquil, Ecuador
Guernsey, UK:::23424827:::Guernsey, UK
Guia de Isora, Spain:::761963:::Guia de Isora, Spain
Gyor, Hungary:::807392:::Gyor, Hungary
Gällivare, Sweden:::890257:::Gällivare, Sweden
Gävle, Sweden:::890545:::Gävle, Sweden
Göttingen, Germany:::653593:::Göttingen, Germany
Haag, Netherlands:::726874:::Haag, Netherlands
Haaparanta, Sweden:::892384:::Haaparanta, Sweden
Habarovsk, Russia:::2018708:::Habarovsk, Russia
Haifa, Israel:::1967449:::Haifa, Israel
Haikou (Hainan), China:::2162779:::Haikou (Hainan), China
Haiti:::96110:::Haiti
Halifax, Canada:::4177:::Halifax, Canada
Halle, Germany:::656853:::Halle, Germany
Halmstad, Sweden:::892193:::Halmstad, Sweden
Halong Bay, Vietnam:::1236594:::Halong Bay, Vietnam
Hamburg, Germany:::656958:::Hamburg, Germany
Hamilton, Canada:::4125:::Hamilton, Canada
Hammamet, Tunisia:::1442746:::Hammamet, Tunisia
Hammerfest, Norway:::859348:::Hammerfest, Norway
Hanoi, Vietnam:::1236594:::Hanoi, Vietnam
Hanover, Germany:::657169:::Hanover, Germany
Hanti-Mansisk, Russia:::2121314:::Hanti-Mansisk, Russia
Hanya, Greece:::948008:::Hanya, Greece
Hargeysa, Somalia:::1427518:::Hargeysa, Somalia
Harkova, Ukraine:::922137:::Harkova, Ukraine
Havanna, Cuba:::63817:::Havanna, Cuba
Helgoland, Germany:::12474484:::Helgoland, Germany
Helsingborg, Sweden:::Helsingborg:::Helsingborg, Sweden
Helsingör, Denmark:::553989 Ko:::Helsingör, Denmark
Heraklion, Greece:::950519:::Heraklion, Greece
Herat, Afganistan:::1935285:::Herat, Afganistan
Hilo, USA:::2422344:::Hilo, USA
Hims, Syria:::1947140:::Hims, Syria
Hiroshima, Japan:::1117227:::Hiroshima, Japan
Hobart, Australia:::1102670:::Hobart, Australia
Hoi An, Vietnam:::1252436:::Hoi An, Vietnam
Holguin, Cuba:::62982:::Holguin, Cuba
Hollywood, USA:::2423474:::Hollywood, USA
Hong Kong, China:::2165352:::Hong Kong, China
Honolulu, USA:::2423945:::Honolulu, USA
Houston, USA:::2424766:::Houston, USA
Hua Hin, Thailand:::1225976:::Hua Hin, Thailand
Hue, Vietnam:::1252438:::Hue, Vietnam
Huehuetenango, Guatemala:::83172:::Huehuetenango, Guatemala
Huelva, Spain:::762399:::Huelva, Spain
Hull, UK:::25211:::Hull, UK
Hurghada, Egypt:::1521440:::Hurghada, Egypt
Huskvarna, Sweden:::893961:::Huskvarna, Sweden
Ibiza, Spain:::762509:::Ibiza, Spain
Içmeler, Turkey:::56121000:::Içmeler, Turkey
Illetas, Spain:::769293:::Illetas, Spain
Imola, Italy:::716645:::Imola, Italy
Incekum, Turkey:::2309658:::Incekum, Turkey
Incheon, South Korea:::1132496:::Incheon, South Korea
Indianapolis, USA:::2427032:::Indianapolis, USA
Innsbruck, Austria:::550763:::Innsbruck, Austria
Interlaken, Switzerland:::782840:::Interlaken, Switzerland
Ipswich, UK:::24522:::Ipswich, UK
Irkutsk, Russia:::2121040:::Irkutsk, Russia
Isla de Margarita, Venezuela:::12505782:::Isla de Margarita, Venezuela
Islamabad, Pakistan:::2211027:::Islamabad, Pakistan
Isola, France:::595270:::Isola, France
Istanbul, Turkey:::2344116:::Istanbul, Turkey
Ivangorod, Russia:::2124691:::Ivangorod, Russia
Izmir, Turkey:::2344117:::Izmir, Turkey
Jakarta, Indonesia:::1047378:::Jakarta, Indonesia
Jakutsk, Russia:::2110973:::Jakutsk, Russia
Jalapa, Guatemala:::83123:::Jalapa, Guatemala
Jamaica:::109251:::Jamaica
Jandia, Spain:::12478490:::Jandia, Spain
Jedda, Saudi Arabia:::1939873:::Jedda, Saudi Arabia
Jekaterinburg, Russia:::2112237:::Jekaterinburg, Russia
Jersey, UK:::23424857:::Jersey, UK
Jerusalem, Israel:::1968222:::Jerusalem, Israel
Jimma, Ethiopia:::56017399:::Jimma, Ethiopia
Johannesburg, South Africa:::1582504:::Johannesburg, South Africa
Jokohama, Japan:::1118550:::Jokohama, Japan
Jolo, Philippines:::1199263:::Jolo, Philippines
Kabul, Afganistan:::1922738:::Kabul, Afganistan
Kahului, USA:::2430447:::Kahului, USA
Kairo, Egypt:::1521894:::Kairo, Egypt
Kairouan, Tunisia:::1441859:::Kairouan, Tunisia
Kalamaki, Greece:::950723:::Kalamaki, Greece
Kalevala, Russia:::2121122:::Kalevala, Russia
Kaliningrad, Russia:::7224124:::Kaliningrad, Russia
Kalives, Greece:::950895:::Kalives, Greece
Kalkutta, India:::2295386:::Kalkutta, India
Kaluga, Russia:::2121137:::Kaluga, Russia
Kamala Beach, Thailand:::1226113:::Kamala Beach, Thailand
Kampala, Uganda:::1451962:::Kampala, Uganda
Kansas City, USA:::2430683:::Kansas City, USA
Kantalahti, Russia:::2121179:::Kantalahti, Russia
Kaolack, Senegal:::1413800:::Kaolack, Senegal
Karachi, Pakistan:::2211096:::Karachi, Pakistan
Karaganda, Kazakstan:::2261214:::Karaganda, Kazakstan
Karlovy Vary, Czech Republic:::791140:::Karlovy Vary, Czech Republic
Karlshamn, Sweden:::894947:::Karlshamn, Sweden
Karlskrona, Sweden:::894952:::Karlskrona, Sweden
Karlsruhe, Germany:::664942:::Karlsruhe, Germany
Karon Beach, Thailand:::1205620:::Karon Beach, Thailand
Karthage, Tunisia:::1442498:::Karthage, Tunisia
Kassel, Germany:::665077:::Kassel, Germany
Kata Beach, Thailand:::1205620:::Kata Beach, Thailand
Katmandu, Nepal:::2269179:::Katmandu, Nepal
Kato Stalos, Greece:::56024777:::Kato Stalos, Greece
Katowice, Poland:::498842:::Katowice, Poland
Kaunas, Lithuania:::475457:::Kaunas, Lithuania
Kawasaki, Japan:::1117502:::Kawasaki, Japan
Kazan, Russia:::2121267:::Kazan, Russia
Kefalonia, Greece:::946364:::Kefalonia, Greece
Kemer, Turkey:::2343841:::Kemer, Turkey
Kemerovo, Russia:::2121282:::Kemerovo, Russia
Key West, USA:::2432044:::Key West, USA
Khao Lak, Thailand:::1226113:::Khao Lak, Thailand
Khios, Greece:::12591132:::Khios, Greece
Khujand, Tadzikistan:::2212369:::Khujand, Tadzikistan
Kiel, Germany:::665684:::Kiel, Germany
Kigali, Rwanda:::1511263:::Kigali, Rwanda
Kimberley, South Africa:::1582804:::Kimberley, South Africa
Kinshasa, DR Congo.:::1290062:::Kinshasa, DR Congo.
Kiova, Ukraine:::924938:::Kiova, Ukraine
Kiribati:::12494996:::Kiribati
Kirkenes, Norway:::860523:::Kirkenes, Norway
Kismanyo, Somalia:::1427947:::Kismanyo, Somalia
Klaipeda, Lithuania:::475630:::Klaipeda, Lithuania
Klong Muang, Thailand:::1226113:::Klong Muang, Thailand
Kobe, Japan:::1117545:::Kobe, Japan
Koblenz, Germany:::667675:::Koblenz, Germany
Koh Klang, Thailand:::1226113:::Koh Klang, Thailand
Koh Lanta, Thailand:::1226113:::Koh Lanta, Thailand
Koh Ngai, Thailand:::1226113:::Koh Ngai, Thailand
Koh Phi Phi, Thailand:::1226113:::Koh Phi Phi, Thailand
Koh Samet, Thailand:::1226113:::Koh Samet, Thailand
Koh Samui, Thailand:::12517782:::Koh Samui, Thailand
Koh Yao Noi, Thailand:::55944942:::Koh Yao Noi, Thailand
Kondopoga, Russia:::2121494:::Kondopoga, Russia
Korfu, Greece:::948092:::Korfu, Greece
Korintti, Greece:::955869:::Korintti, Greece
Kos, Greece:::954124:::Kos, Greece
Kosice, Slovakia:::820323:::Kosice, Slovakia
Kostomuksha, Russia:::Kostomuksha:::Kostomuksha, Russia
Kostroma, Russia:::2121553:::Kostroma, Russia
Krabi Town, Thailand:::1226113:::Krabi Town, Thailand
Krabi, Thailand:::1226113:::Krabi, Thailand
Krakova, Poland:::502075:::Krakova, Poland
Kraljevo, Serbia:::534774:::Kraljevo, Serbia
Kranj, Slovenia:::530494:::Kranj, Slovenia
Krasnodar, Russia:::2028717:::Krasnodar, Russia
Krasnojarsk, Russia:::2029043:::Krasnojarsk, Russia
Krusevac, Serbia:::534843:::Krusevac, Serbia
Kuala Lumpur, Malesia:::1154781:::Kuala Lumpur, Malesia
Kuching, Malesia:::1154803:::Kuching, Malesia
Kungälv, Sweden:::896154:::Kungälv, Sweden
Kuressaare, Estonia:::843381:::Kuressaare, Estonia
Kursk, Russia:::2121788:::Kursk, Russia
Kusadasi, Turkey:::2344238:::Kusadasi, Turkey
Kuwait City, Kuwait:::1940631:::Kuwait City, Kuwait
Kyoto, Japan:::15015372:::Kyoto, Japan
La Palma, Spain:::12478522:::La Palma, Spain
La Paz, Bolivia:::346057:::La Paz, Bolivia
Laayoune, Länsi-Sahara:::1466769:::Laayoune, Länsi-Sahara
Lagos, Nigeria:::1398823:::Lagos, Nigeria
Lahore, Pakistan:::2211177:::Lahore, Pakistan
Lake Worth, USA:::2435273:::Lake Worth, USA
Landskrona, Sweden:::896529:::Landskrona, Sweden
Langkawi, Malesia:::12515000:::Langkawi, Malesia
Lanzarote, Spain:::12478520:::Lanzarote, Spain
Larnaca, Cyprus:::841439:::Larnaca, Cyprus
Las Galeras, Dominican Republic:::73817:::Las Galeras, Dominican Republic
Las Palmas, Spain:::764814:::Las Palmas, Spain
Las Terrenas, Dominican Republic:::76414:::Las Terrenas, Dominican Republic
Las Vegas, USA:::2436704:::Las Vegas, USA
Lausanne, Switzerland:::783058:::Lausanne, Switzerland
Le Havre, France:::603259:::Le Havre, France
Leeds, UK:::26042:::Leeds, UK
Lefkada, Greece:::955263:::Lefkada, Greece
Leicester, UK:::26062:::Leicester, UK
Leipzig, Germany:::671072:::Leipzig, Germany
