title,body,field_image,field_section_id,field_code,field_delivery_method,field_hours,field_credits,field_remarks
"Introduction to Computer Programming","<p>Aliquam lobortis vitae neque eu consectetur. Donec vestibulum nisi mattis ligula dictum aliquam. Donec id est et ipsum rutrum consequat in nec sapien. Quisque luctus velit lectus, eget fermentum ligula mattis ac. Aliquam sed placerat magna. Proin commodo tortor lectus, vitae luctus diam bibendum ut. Vivamus in urna sit amet lectus feugiat convallis ac a nulla. Quisque libero erat, adipiscing ut felis nec, iaculis commodo libero. Ut interdum non dolor sit amet vulputate. Suspendisse et dui non erat mattis dictum.</p>",,"Department of Computer Science",DDP002,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Introduction to Dbase Programming","<p>Praesent nec libero id nisi rhoncus iaculis a id metus. Suspendisse accumsan massa quis neque tempor laoreet. In sagittis orci orci, et viverra risus mattis sit amet. Vivamus consectetur velit quis mi faucibus venenatis. Cras eu mattis orci. Proin pellentesque quam ut nibh placerat aliquam. Mauris semper est faucibus est varius congue. Praesent vel turpis viverra tortor vehicula congue id tempus justo. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Maecenas tincidunt nisl eu nisl vehicula mollis. Aliquam rhoncus quis erat et tempus. Nam commodo, magna porta lobortis interdum, urna leo semper velit, at rhoncus orci felis at enim. Morbi porta iaculis placerat. Sed nulla est, ultrices id diam non, ornare tristique metus. Suspendisse facilisis elit est, adipiscing laoreet tortor fermentum nec.</p>",,"Department of Computer Science",DDP045,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Introduction to Fortran Programming Methods","<p>In hac habitasse platea dictumst. Quisque eget nibh pretium, gravida lacus pellentesque, vehicula mauris. Sed bibendum nunc sit amet augue sagittis eleifend. Sed accumsan, mi ut facilisis pretium, magna nunc condimentum nulla, ac tristique est enim sed sapien. Curabitur convallis volutpat orci sit amet consequat. Aliquam a nibh lectus. Quisque vehicula, quam eget feugiat pulvinar, nulla sapien viverra massa, eget tristique ligula sem sit amet ante. Cras eu adipiscing mauris. Sed imperdiet nulla sed urna condimentum, pulvinar porta tellus fringilla. Proin vulputate sapien magna, sit amet semper eros bibendum a. Vestibulum porta tortor non sollicitudin pretium. Aenean sit amet luctus sem. Sed suscipit ipsum ac nibh ultrices rutrum.</p>",,"Department of Computer Science",DDP022,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Management Practice","<p>Integer dolor sem, mollis et mollis vel, tincidunt quis quam. Sed a luctus odio. Aliquam semper lectus ut nibh sollicitudin, eu ultrices eros lobortis. Donec pellentesque consectetur pellentesque. Proin ac porta leo. Ut odio nisi, sagittis malesuada convallis elementum, venenatis id purus. Etiam id nunc vel ante dictum commodo ut et nisi. In sollicitudin leo at purus eleifend euismod. Suspendisse bibendum feugiat arcu id dignissim. Ut ultricies felis vel adipiscing dapibus.</p>",,"Department of Computer Science",DDP062,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Other Data Processing & Programming Methods","<p>Sed semper orci quis tempor ultricies. Duis sed ante rutrum, sagittis velit non, venenatis orci. Aenean sit amet tortor cursus, pretium sem ac, condimentum leo. Curabitur lectus ligula, vehicula et volutpat quis, convallis vel nisl. Suspendisse sed velit dui. Suspendisse in fermentum dui, eget fringilla libero. Mauris enim est, accumsan vel odio sit amet, tempor mattis mi. Phasellus ut luctus quam. Duis pulvinar sapien neque, non porttitor nunc ultricies in. Proin sit amet gravida urna, eu viverra nibh. Mauris turpis nisl, tincidunt et hendrerit vitae, vulputate eget nibh. Nunc vestibulum, sem sit amet tempus dapibus, mi magna laoreet orci, eget venenatis est risus id nisi.</p>",,"Department of Computer Science","DDP043 ",88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Principles of Accounting I","<p>In at pulvinar enim, eu tempus felis. Duis magna lorem, bibendum vitae ipsum nec, porttitor interdum nibh. Nulla vestibulum iaculis eleifend. Duis vel semper lorem. Aenean vel nisi laoreet, rhoncus orci nec, mattis leo. Curabitur vestibulum at nunc nec tincidunt. Donec id placerat nisl. Vivamus nec condimentum mi, quis porttitor arcu. Vestibulum cursus ullamcorper ante, eget dignissim nisl semper eget. Aliquam erat volutpat. Duis orci purus, faucibus varius leo eu, sollicitudin cursus elit.</p>",,"Department of Computer Science",DDP041,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Principles of Accounting II","<p>Nam tincidunt erat vehicula orci accumsan placerat. Nullam scelerisque nunc fringilla eros elementum venenatis. Nullam posuere, magna quis congue lobortis, lorem libero pharetra lectus, a tempor enim velit sit amet nibh. Donec varius congue facilisis. Curabitur ultricies, diam ut venenatis consectetur, turpis leo pretium nulla, vel porttitor tellus velit eget ante. Ut tincidunt ac purus eget suscipit. Fusce eget justo commodo, tincidunt sapien et, gravida orci. Duis vestibulum purus ligula, feugiat viverra nibh tempus vitae. Donec egestas fringilla dignissim. Aenean imperdiet mi vel hendrerit feugiat. Nulla eu hendrerit ligula. Vivamus sed dolor nec metus viverra tincidunt. Quisque ornare nunc ac iaculis ultrices. Aenean ut gravida tortor, a tempor leo.</p>",,"Department of Computer Science",DDP065,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
"Programming Laboratory","<p>Sed dictum commodo lobortis. Mauris dui libero, vulputate in viverra sed, vulputate sit amet nibh. Quisque luctus condimentum nunc vel porttitor. Cras viverra enim elit, nec faucibus ligula laoreet at. Nunc fermentum laoreet ornare. Suspendisse vitae hendrerit quam, vitae interdum ipsum. Praesent ac sagittis massa. Vivamus sed libero rutrum, scelerisque augue ac, vestibulum nisi. Praesent lacinia velit quis pulvinar sodales. Aenean varius turpis ac augue mollis congue. Nulla et fringilla tortor. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Aenean placerat blandit leo ut laoreet. Morbi egestas libero quis metus porta molestie. Etiam nec leo adipiscing, elementum erat a, lobortis enim. Quisque quis dictum libero, a faucibus urna.</p>",,"Department of Computer Science",DDP005,89774461-9a05-ce04-7591-49f84542cc9c,3,3,
"Programming Laboratory II","<p>Integer molestie odio ac nunc porta, non feugiat sapien condimentum. Donec id dui venenatis, euismod leo nec, viverra est. Suspendisse elementum risus vitae nulla vestibulum, nec consectetur neque feugiat. Donec in mattis elit. Vestibulum sit amet nunc non nibh faucibus euismod ut in ante. Duis eu condimentum lacus, id gravida dui. Mauris aliquet nunc ante, ac hendrerit lacus aliquam et. Fusce et iaculis tortor, eget imperdiet magna.</p>",,"Department of Computer Science",DDP025,89774461-9a05-ce04-7591-49f84542cc9c,3,3,
"Programming Practice and Techniques","<p>Donec at sagittis leo. Vestibulum eleifend mi nulla, id tincidunt dolor tincidunt sed. Mauris eu iaculis ipsum. Morbi vitae tempus felis. Praesent elementum dignissim dolor. In dictum egestas nulla a pharetra. Ut luctus, elit a malesuada egestas, mi dui blandit purus, eget lobortis purus diam a nisl. Aenean non eros erat.</p>",,"Department of Computer Science",DDP042,88410bc5-0eea-8034-f5d3-a4615dd494a6,3,3,
